Позначка часу,What date are you reporting for?,What Oblast are you reporting from?,What sub-queue are you reporting from?,How many hours of scheduled outages were planned for today in your sub-queue?,How many hours of actual outages occurred today in your sub-queue?,Стовпець 6
28.01.2026 15:04:24,27.01.2026,Kyiv City,1.1,8,10,
01.02.2026 14:02:44,31.01.2026,Cherkasy,3.2,15,10,
01.02.2026 14:26:09,31.01.2026,Vinnytsia,1.2,10,13,
01.02.2026 14:31:42,31.01.2026,Vinnytsia,6.2,0,6.5,
01.02.2026 14:49:56,31.01.2026,Poltava,1.1,13,17.5,
01.02.2026 15:04:39,31.01.2026,Kyiv Oblast,1.2,15,9.5,
01.02.2026 15:11:21,31.01.2026,Dnipro,5.,16.5,7.5,
01.02.2026 15:14:58,31.01.2026,Dnipro,5.2,17,16.5,
01.02.2026 15:19:06,31.01.2026,Odesa,4.2,3.5,1,
01.02.2026 15:22:33,31.01.2026,Odesa,6.1,10.5,13,
01.02.2026 19:20:56,31.01.2026,Lviv,6.1,2,2,
01.02.2026 19:26:45,31.01.2026,Rivne,3.2,3,3,
01.02.2026 19:30:21,31.01.2026,Lviv,1.1,0,3.5,
01.02.2026 19:36:00,31.01.2026,Cherkasy,6.1,16,4,
01.02.2026 19:40:05,31.01.2026,Cherkasy,3.2,15,7.5,
01.02.2026 19:44:01,31.01.2026,Zakarpattia,6.1,3.5,4,
01.02.2026 19:48:09,31.01.2026,Volyn,6.2,0,2.5,
01.02.2026 19:50:32,31.01.2026,Khmelnytskyi,1.2,15,0.5,
01.02.2026 19:52:28,31.01.2026,Khmelnytskyi,6.2,16,2,
01.02.2026 19:54:12,31.01.2026,Zakarpattia,5.2,2,2,
01.02.2026 20:00:09,31.01.2026,Kharkiv,6.2,16.5,2,
01.02.2026 20:03:01,31.01.2026,Zhytomyr,2.2,14.5,1.5,
01.02.2026 20:04:11,31.01.2026,Zhytomyr,5.2,0,0,
01.02.2026 20:14:12,31.01.2026,Ivano-Frankivsk,5.2,3.5,0,
01.02.2026 20:16:51,31.01.2026,Ivano-Frankivsk,3.2,1.5,1.5,
01.02.2026 20:24:22,31.01.2026,Kyiv City,6.1,14.5,4,
01.02.2026 20:34:38,31.01.2026,Rivne,2.1,0,4,
02.02.2026 08:54:05,01.02.2026,Kyiv Oblast,1.1,14.5,14.5,
02.02.2026 08:57:23,01.02.2026,Kyiv City,5.,18.5,9,
02.02.2026 15:01:25,01.02.2026,Kyiv City,6.1,14,5.5,
02.02.2026 15:02:13,01.02.2026,Khmelnytskyi,6.2,15,3,
02.02.2026 15:04:29,01.02.2026,Khmelnytskyi,1.2,14,3,
02.02.2026 15:05:06,01.02.2026,Odesa,4.2,13,0,
02.02.2026 15:05:36,01.02.2026,Odesa,6.1,13.5,11,
02.02.2026 15:06:10,01.02.2026,Poltava,1.1,13,10.5,
02.02.2026 15:06:40,01.02.2026,Dnipro,5.2,13.5,12.5,
02.02.2026 15:07:07,01.02.2026,Dnipro,5.1,17,12,
02.02.2026 15:07:34,01.02.2026,Kyiv Oblast,2.2,13,12,
02.02.2026 15:08:08,01.02.2026,Vinnytsia,6.2,0,11,
02.02.2026 15:08:38,01.02.2026,Vinnytsia,1.2,11,9,
02.02.2026 15:09:08,01.02.2026,Rivne,3.2,6,0,
02.02.2026 15:09:40,01.02.2026,Rivne,2.1,6,0,
02.02.2026 15:10:07,01.02.2026,Lviv,6.1,3.5,3.5,
02.02.2026 15:10:33,01.02.2026,Lviv,1.1,3.5,3.5,
02.02.2026 15:10:58,01.02.2026,Ivano-Frankivsk,3.2,4.5,2,
02.02.2026 15:11:21,01.02.2026,Ivano-Frankivsk,5.2,3.5,3.5,
02.02.2026 15:11:43,01.02.2026,Zakarpattia,5.2,5,2,
02.02.2026 15:12:06,01.02.2026,Zakarpattia,6.1,3.5,0,
02.02.2026 15:13:14,01.02.2026,Kharkiv,6.2,17,0,
02.02.2026 15:13:42,01.02.2026,Kharkiv,3.2,0,24,
02.02.2026 15:14:17,01.02.2026,Cherkasy,6.1,15,3.5,
02.02.2026 15:17:18,01.02.2026,Cherkasy,3.2,15.5,11.5,
02.02.2026 15:17:56,01.02.2026,Zhytomyr,2.2,16,0,
02.02.2026 15:18:15,01.02.2026,Zhytomyr,5.2,0,0,
02.02.2026 15:21:22,01.02.2026,Volyn,6.2,6.5,6.5,
02.02.2026 15:35:33,01.02.2026,Poltava,2.2,13,14,
03.02.2026 08:23:10,02.02.2026,Kyiv City,5.1,18,6.5,
03.02.2026 08:24:56,02.02.2026,Kyiv Oblast,1.1,10,9,
03.02.2026 12:39:01,02.02.2026,Kyiv City,6.1,13,4.5,
03.02.2026 12:39:38,02.02.2026,Khmelnytskyi,6.2,14,0,
03.02.2026 12:40:03,02.02.2026,Khmelnytskyi,1.2,14,0,
03.02.2026 12:40:32,02.02.2026,Odesa,4.2,11.5,0,
03.02.2026 12:41:03,02.02.2026,Odesa,6.1,14,16,
03.02.2026 12:41:31,02.02.2026,Poltava,1.1,11,12.5,
03.02.2026 12:42:07,02.02.2026,Poltava,2.2,15,14.5,
03.02.2026 12:42:41,02.02.2026,Dnipro,5.2,15,13.5,
03.02.2026 12:43:11,02.02.2026,Dnipro,5.1,15.5,24,
03.02.2026 12:43:40,02.02.2026,Kyiv Oblast,2.2,15,11.5,
03.02.2026 12:44:06,02.02.2026,Vinnytsia,6.2,0,12,
03.02.2026 12:44:33,02.02.2026,Vinnytsia,1.2,14,14,
03.02.2026 12:44:57,02.02.2026,Rivne,3.2,4,5,
03.02.2026 12:45:31,02.02.2026,Rivne,2.2,4,0,
03.02.2026 12:45:53,02.02.2026,Lviv,6.1,0,0,
03.02.2026 12:46:14,02.02.2026,Lviv,1.1,0,0,
03.02.2026 12:46:39,02.02.2026,Ivano-Frankivsk,3.2,1,1,
03.02.2026 12:47:00,02.02.2026,Ivano-Frankivsk,5.2,2,0,
03.02.2026 12:47:33,02.02.2026,Zakarpattia,5.2,4,0,
03.02.2026 12:48:03,02.02.2026,Zakarpattia,6.1,2.5,0,
03.02.2026 12:48:29,02.02.2026,Kharkiv,6.2,15.5,3.5,
03.02.2026 12:49:14,02.02.2026,Kharkiv,3.2,Emergency/unplanned outages,10.5,
03.02.2026 12:49:52,02.02.2026,Cherkasy,6.1,15,7,
03.02.2026 12:50:24,02.02.2026,Cherkasy,3.2,12.5,12.5,
03.02.2026 12:50:49,02.02.2026,Volyn,6.2,5,0,
03.02.2026 12:51:32,02.02.2026,Zhytomyr,2.2,16,0,
03.02.2026 12:51:55,02.02.2026,Zhytomyr,5.2,0,2,
03.02.2026 12:52:52,02.02.2026,Dnipro,5.1,Emergency/unplanned outages,24,
04.02.2026 01:47:45,03.02.2026,Kyiv City,6.1,14.5,2.5,
04.02.2026 01:48:24,03.02.2026,Khmelnytskyi,6.2,16,2.5,
04.02.2026 01:48:57,03.02.2026,Khmelnytskyi,4.1,14,4,
04.02.2026 01:49:23,03.02.2026,Odesa,4.2,13.5,0,
04.02.2026 01:52:54,03.02.2026,Odesa,6.1,14,15.5,
04.02.2026 01:54:56,03.02.2026,Poltava,1.1,8.5,16.5,
04.02.2026 01:55:53,03.02.2026,Poltava,2.2,11.5,18,
04.02.2026 01:56:21,03.02.2026,Dnipro,5.2,17.5,14.5,
04.02.2026 01:57:00,03.02.2026,Dnipro,5.1,15,24,
04.02.2026 01:57:28,03.02.2026,Kyiv Oblast,2.2,16.5,8,
04.02.2026 01:57:53,03.02.2026,Vinnytsia,6.2,16,16,
04.02.2026 01:58:20,03.02.2026,Vinnytsia,1.2,16,16,
04.02.2026 01:58:45,03.02.2026,Rivne,3.2,6,0,
04.02.2026 01:59:10,03.02.2026,Rivne,2.2,4,0,
04.02.2026 01:59:31,03.02.2026,Lviv,6.1,3.5,0,
04.02.2026 01:59:55,03.02.2026,Lviv,1.1,3.5,0,
04.02.2026 02:00:18,03.02.2026,Ivano-Frankivsk,3.2,3.5,0,
04.02.2026 02:00:43,03.02.2026,Ivano-Frankivsk,5.2,3,0,
04.02.2026 02:01:05,03.02.2026,Zakarpattia,5.2,5,0,
04.02.2026 02:01:27,03.02.2026,Zakarpattia,6.1,5,1,
04.02.2026 02:01:53,03.02.2026,Kharkiv,6.2,15,2,
04.02.2026 02:02:25,03.02.2026,Kharkiv,3.2,16,16.5,
04.02.2026 02:03:00,03.02.2026,Cherkasy,6.1,15,15.5,
04.02.2026 02:03:37,03.02.2026,Cherkasy,3.2,12.5,12.5,
04.02.2026 02:03:59,03.02.2026,Volyn,6.2,0,1,
04.02.2026 02:04:27,03.02.2026,Zhytomyr,2.2,16,2,
04.02.2026 02:04:54,03.02.2026,Zhytomyr,5.2,2.5,4.5,
04.02.2026 13:17:44,03.02.2026,Kyiv City,5.1,16,3,
04.02.2026 13:19:18,03.02.2026,Kyiv Oblast,1.1,15.5,11,